scenarioId,groupName,resourceType,componentTitle,fieldKey,editorControl,fieldSemantics,verifiedLayers,outcome,notes
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/sticky-cta,Sticky CTA,url,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/modal-dialog,Modal Dialog,dismissible,toggle,scalar,ui,PASS,control toggle present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/modal-dialog,Modal Dialog,title,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/modal-dialog,Modal Dialog,trigger,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/side-panel,Side Panel,title,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/side-panel,Side Panel,width,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/drawer-navigation,Drawer Navigation,menuItems,structured,list,ui,PASS,list field renders a structured editor; value authored through the author API
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/drawer-navigation,Drawer Navigation,showAccountLinks,toggle,scalar,ui,PASS,control toggle present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/tooltip,Tooltip,content,textarea,scalar,ui,PASS,control textarea present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/tooltip,Tooltip,triggerLabel,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/popover,Popover,dismissible,toggle,scalar,ui,PASS,control toggle present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/popover,Popover,triggerLabel,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/badge,Badge,icon,text,asset,ui,BLOCKED,asset field renders as a plain text input; authored through the author API instead
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/badge,Badge,text,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/media-object,Media Object,description,textarea,scalar,ui,PASS,control textarea present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/media-object,Media Object,media,text,asset,ui,BLOCKED,asset field renders as a plain text input; authored through the author API instead
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/media-object,Media Object,title,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-header,Page Header,backgroundImage,text,asset,ui,BLOCKED,asset field renders as a plain text input; authored through the author API instead
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-header,Page Header,breadcrumbs,structured,list,ui,PASS,list field renders a structured editor; value authored through the author API
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-header,Page Header,title,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-footer-section,Page Footer Section,body,textarea,scalar,ui,PASS,control textarea present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-footer-section,Page Footer Section,cta,structured,object,ui,PASS,object field renders a structured editor; value authored through the author API
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-footer-section,Page Footer Section,theme,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-metadata,Page Metadata,publishDate,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-metadata,Page Metadata,slug,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-metadata,Page Metadata,tags,structured,list,ui,PASS,list field renders a structured editor; value authored through the author API
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-metadata,Page Metadata,template,text,scalar,ui,PASS,control text present
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/grid-layout,Grid Layout,items,structured,list,author-api,PASS,list value survived the editor save unchanged
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/two-columns-grid,Two Columns Grid,leftColumnItems,structured,list,author-api,PASS,list value survived the editor save unchanged
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/two-columns-grid,Two Columns Grid,rightColumnItems,structured,list,author-api,PASS,list value survived the editor save unchanged
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/card-grid,Card Grid,cards,structured,list,author-api,PASS,list value survived the editor save unchanged
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/sidebar-promo,Sidebar Promo,cta,structured,object,author-api,PASS,object value survived the editor save unchanged
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/sidebar-promo,Sidebar Promo,image,text,asset,author-api,PASS,asset value survived the editor save unchanged
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/drawer-navigation,Drawer Navigation,menuItems,structured,list,author-api,PASS,list value survived the editor save unchanged
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/badge,Badge,icon,text,asset,author-api,PASS,asset value survived the editor save unchanged
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/media-object,Media Object,media,text,asset,author-api,PASS,asset value survived the editor save unchanged
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-header,Page Header,backgroundImage,text,asset,author-api,PASS,asset value survived the editor save unchanged
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-header,Page Header,breadcrumbs,structured,list,author-api,PASS,list value survived the editor save unchanged
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-footer-section,Page Footer Section,cta,structured,object,author-api,PASS,object value survived the editor save unchanged
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-metadata,Page Metadata,tags,structured,list,author-api,PASS,list value survived the editor save unchanged
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/two-column-layout,Two Column Layout,leftContent,textarea,reference,rendered,BLOCKED,authored reference produced no anchor href on the reference site
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/two-column-layout,Two Column Layout,rightContent,textarea,reference,rendered,BLOCKED,authored reference produced no anchor href on the reference site
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/three-column-layout,Three Column Layout,column1,text,reference,rendered,BLOCKED,authored reference produced no anchor href on the reference site
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/three-column-layout,Three Column Layout,column2,text,reference,rendered,BLOCKED,authored reference produced no anchor href on the reference site
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/three-column-layout,Three Column Layout,column3,text,reference,rendered,BLOCKED,authored reference produced no anchor href on the reference site
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/sidebar-promo,Sidebar Promo,image,text,asset,rendered,PASS,asset resolves: /tut-usa/assets/images/0a2bf900ec4adaee-ab6axuaekcsam-vp7o6o7p1gdxvp6cz3c44bfpsxk3gu-69j.png
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/side-panel,Side Panel,content,textarea,reference,rendered,BLOCKED,authored reference produced no anchor href on the reference site
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/badge,Badge,icon,text,asset,rendered,PASS,asset resolves: /tut-usa/assets/images/13d3400f47463eb7-ab6axuc8zfjdktmibjprvk91axkfhhldjux1won1ia6xag-5.png
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/media-object,Media Object,media,text,asset,author-api headless,PASS,non-image asset reference persisted and delivered; rendering as <img> not applicable
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-header,Page Header,backgroundImage,text,asset,rendered,PASS,asset resolves: /tut-usa/assets/images/1808c70e752d53e9-ab6axudqejohnml8skwpdazbzjvqfvwvbrsagpjwhufz-xgw.png
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/section-divider,Section Divider,label,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-0 label"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/spacer,Spacer,responsiveBehavior,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-1 responsiveBehavior"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/container,Container,background,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-2 background"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/grid-layout,Grid Layout,columnsDesktop,number,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""1004"" through the number control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/two-column-layout,Two Column Layout,leftContent,textarea,reference,ui author-api headless graphql rendered preview publish,PASS,"authored ""/tut-usa/home?ref=reb26-1787485036612-b1-4"" through the textarea control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/two-column-layout,Two Column Layout,ratio,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-4 ratio"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/two-column-layout,Two Column Layout,rightContent,textarea,reference,ui author-api headless graphql rendered preview publish,PASS,"authored ""/tut-usa/home?ref=reb26-1787485036612-b1-4"" through the textarea control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/two-columns-grid,Two Columns Grid,gap,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-5 gap"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/three-column-layout,Three Column Layout,column1,text,reference,ui author-api headless graphql rendered preview publish,PASS,"authored ""/tut-usa/home?ref=reb26-1787485036612-b1-6"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/three-column-layout,Three Column Layout,column2,text,reference,ui author-api headless graphql rendered preview publish,PASS,"authored ""/tut-usa/home?ref=reb26-1787485036612-b1-6"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/three-column-layout,Three Column Layout,column3,text,reference,ui author-api headless graphql rendered preview publish,PASS,"authored ""/tut-usa/home?ref=reb26-1787485036612-b1-6"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/three-column-layout,Three Column Layout,gap,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-6 gap"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/card-grid,Card Grid,title,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-7 title"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/sidebar-promo,Sidebar Promo,title,text,scalar,ui author-api headless graphql rendered rendered-asset preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-8 title"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/sticky-cta,Sticky CTA,label,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-9 label"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/modal-dialog,Modal Dialog,body,textarea,richtext,ui author-api headless graphql rendered preview publish,PASS,"authored ""<em>REB26 reb26-1787485036612-b1-10 rich</em>"" through the textarea control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/modal-dialog,Modal Dialog,size,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-10 size"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/side-panel,Side Panel,content,textarea,reference,ui author-api headless graphql rendered preview publish,PASS,"authored ""/tut-usa/home?ref=reb26-1787485036612-b1-11"" through the textarea control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/side-panel,Side Panel,position,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-11 position"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/drawer-navigation,Drawer Navigation,position,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-12 position"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/tooltip,Tooltip,position,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-13 position"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/popover,Popover,content,textarea,richtext,ui author-api headless graphql rendered preview publish,PASS,"authored ""<em>REB26 reb26-1787485036612-b1-14 rich</em>"" through the textarea control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/popover,Popover,position,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-14 position"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/badge,Badge,styleVariant,text,scalar,ui author-api headless graphql rendered rendered-asset preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-15 styleVariant"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/media-object,Media Object,mediaPosition,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-16 mediaPosition"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-header,Page Header,subtitle,text,scalar,ui author-api headless graphql rendered rendered-asset preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-17 subtitle"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-footer-section,Page Footer Section,headline,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-18 headline"" through the text control"
S2.1,Layout & Page Structure,tut-usa/layout-page-structure/page-metadata,Page Metadata,pageTitle,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b1-19 pageTitle"" through the text control"
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/empty-state,Empty State,cta,structured,object,ui,PASS,object field renders a structured editor; value authored through the author API
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/empty-state,Empty State,illustration,text,asset,ui,BLOCKED,asset field renders as a plain text input; authored through the author API instead
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/empty-state,Empty State,title,text,scalar,ui,PASS,control text present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/pagination,Pagination,currentPage,number,scalar,ui,PASS,control number present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/pagination,Pagination,showFirstLast,toggle,scalar,ui,PASS,control toggle present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/pagination,Pagination,totalPages,number,scalar,ui,PASS,control number present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/filter-panel,Filter Panel,filters,structured,list,ui,PASS,list field renders a structured editor; value authored through the author API
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/filter-panel,Filter Panel,title,text,scalar,ui,PASS,control text present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/sort-control,Sort Control,label,text,scalar,ui,PASS,control text present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/sort-control,Sort Control,options,structured,list,ui,PASS,list field renders a structured editor; value authored through the author API
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/tag-list,Tag List,tags,structured,list,ui,PASS,list field renders a structured editor; value authored through the author API
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/icon-list,Icon List,items,structured,list,ui,PASS,list field renders a structured editor; value authored through the author API
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/icon-list,Icon List,title,text,scalar,ui,PASS,control text present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/icon-card,Icon Card,cta,structured,object,ui,PASS,object field renders a structured editor; value authored through the author API
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/icon-card,Icon Card,description,textarea,scalar,ui,PASS,control textarea present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/icon-card,Icon Card,icon,text,asset,ui,BLOCKED,asset field renders as a plain text input; authored through the author API instead
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/framed-message,Framed Message,icon,text,asset,ui,BLOCKED,asset field renders as a plain text input; authored through the author API instead
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/framed-message,Framed Message,styleVariant,text,scalar,ui,PASS,control text present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/framed-message,Framed Message,title,text,scalar,ui,PASS,control text present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/error-page-404,Error Page 404,searchEnabled,toggle,scalar,ui,PASS,control toggle present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/error-page-404,Error Page 404,suggestedLinks,structured,list,ui,PASS,list field renders a structured editor; value authored through the author API
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/error-page-404,Error Page 404,title,text,scalar,ui,PASS,control text present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/error-page-500,Error Page 500,retryLabel,text,scalar,ui,PASS,control text present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/error-page-500,Error Page 500,supportLink,text,scalar,ui,PASS,control text present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/error-page-500,Error Page 500,title,text,scalar,ui,PASS,control text present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/progress-bar,Progress Bar,maxValue,number,scalar,ui,PASS,control number present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/progress-bar,Progress Bar,showPercent,toggle,scalar,ui,PASS,control toggle present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/progress-bar,Progress Bar,value,number,scalar,ui,PASS,control number present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/step-indicator,Step Indicator,currentStep,number,scalar,ui,PASS,control number present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/step-indicator,Step Indicator,steps,structured,list,ui,PASS,list field renders a structured editor; value authored through the author API
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/rich-text-block,Rich Text Block,backgroundColor,text,scalar,ui,PASS,control text present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/rich-text-block,Rich Text Block,heading,text,scalar,ui,PASS,control text present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/rich-text-block,Rich Text Block,spacing,text,scalar,ui,PASS,control text present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/plain-text-block,Plain Text Block,maxLength,number,scalar,ui,PASS,control number present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/plain-text-block,Plain Text Block,text,text,scalar,ui,PASS,control text present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/plain-text-block,Plain Text Block,title,text,scalar,ui,PASS,control text present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/heading,Heading,level,text,scalar,ui,PASS,control text present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/heading,Heading,styleVariant,text,scalar,ui,PASS,control text present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/heading,Heading,text,text,scalar,ui,PASS,control text present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/subheading,Subheading,styleVariant,text,scalar,ui,PASS,control text present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/subheading,Subheading,text,text,scalar,ui,PASS,control text present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/paragraph,Paragraph,dropCap,toggle,scalar,ui,PASS,control toggle present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/paragraph,Paragraph,text,text,scalar,ui,PASS,control text present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/quote,Quote,authorTitle,text,scalar,ui,PASS,control text present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/quote,Quote,quoteText,text,scalar,ui,PASS,control text present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/quote,Quote,source,text,scalar,ui,PASS,control text present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/pull-quote,Pull Quote,attribution,text,scalar,ui,PASS,control text present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/pull-quote,Pull Quote,quoteText,text,scalar,ui,PASS,control text present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/code-snippet,Code Snippet,language,text,scalar,ui,PASS,control text present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/code-snippet,Code Snippet,showLineNumbers,toggle,scalar,ui,PASS,control toggle present
S2.2,Editorial & Article Content,tut-usa/editorial-article-content/code-snippet,Code Snippet,title,text,scalar,ui,PASS,control text present
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/empty-state,Empty State,cta,structured,object,author-api,PASS,object value survived the editor save unchanged
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/empty-state,Empty State,illustration,text,asset,author-api,PASS,asset value survived the editor save unchanged
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/filter-panel,Filter Panel,filters,structured,list,author-api,PASS,list value survived the editor save unchanged
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/sort-control,Sort Control,options,structured,list,author-api,PASS,list value survived the editor save unchanged
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/tag-list,Tag List,tags,structured,list,author-api,PASS,list value survived the editor save unchanged
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/icon-list,Icon List,items,structured,list,author-api,PASS,list value survived the editor save unchanged
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/icon-card,Icon Card,cta,structured,object,author-api,PASS,object value survived the editor save unchanged
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/icon-card,Icon Card,icon,text,asset,author-api,PASS,asset value survived the editor save unchanged
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/framed-message,Framed Message,icon,text,asset,author-api,PASS,asset value survived the editor save unchanged
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/error-page-404,Error Page 404,suggestedLinks,structured,list,author-api,PASS,list value survived the editor save unchanged
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/step-indicator,Step Indicator,steps,structured,list,author-api,PASS,list value survived the editor save unchanged
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/empty-state,Empty State,illustration,text,asset,author-api headless,PASS,non-image asset reference persisted and delivered; rendering as <img> not applicable
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/icon-card,Icon Card,icon,text,asset,rendered,PASS,asset resolves: /tut-usa/assets/images/277758a05d27b2c5-ab6axudq04mjx34by-xf6r4fvtjv-wntuasd2pm9ygalfbei.png
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/framed-message,Framed Message,icon,text,asset,rendered,PASS,asset resolves: /tut-usa/assets/images/284e51d3d025a79b-ab6axuc7zn1r-swe8srvwkdvumewh9z-tsvsqtk3cnoospu4.png
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/empty-state,Empty State,message,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b2-0 message"" through the text control"
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/pagination,Pagination,baseUrl,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b2-1 baseUrl"" through the text control"
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/filter-panel,Filter Panel,applyMode,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b2-2 applyMode"" through the text control"
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/sort-control,Sort Control,defaultOption,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b2-3 defaultOption"" through the text control"
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/tag-list,Tag List,linkMode,toggle,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""false"" through the toggle control"
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/icon-list,Icon List,iconPosition,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b2-5 iconPosition"" through the text control"
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/icon-card,Icon Card,title,text,scalar,ui author-api headless graphql rendered rendered-asset preview publish,PASS,"authored ""REB26 reb26-1787485036612-b2-6 title"" through the text control"
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/framed-message,Framed Message,message,text,scalar,ui author-api headless graphql rendered rendered-asset preview publish,PASS,"authored ""REB26 reb26-1787485036612-b2-7 message"" through the text control"
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/error-page-404,Error Page 404,message,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b2-8 message"" through the text control"
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/error-page-500,Error Page 500,message,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b2-9 message"" through the text control"
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/progress-bar,Progress Bar,label,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b2-10 label"" through the text control"
S2.2,Layout & Page Structure,tut-usa/layout-page-structure/step-indicator,Step Indicator,orientation,text,scalar,ui author-api headless graphql rendered preview publish,PASS,"authored ""REB26 reb26-1787485036612-b2-11 orientation"" through the text control"
